symbol,price
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.001457
NCASHBTC,0.00000005
NCASHETH,0.00000013
NCASHBNB,0.0000679
POABTC,0.00000041
POAETH,0.00004891
POABNB,0.000921
ZILBTC,0.00000061
ZILETH,0.00001017
ZILBNB,0.00007879
ONTBTC,0.00000601
ONTETH,0.0001253
ONTBNB,0.002462
STORMBTC,0.00000035
STORMETH,0.00001398
STORMBNB,0.0000655
QTUMBNB,0.09597
QTUMUSDT,2.241
XEMBTC,0.00000192
XEMETH,0.00003593
XEMBNB,0.002441
WANBTC,0.00000665
WANETH,0.0001115
WANBNB,0.00181
WPRBTC,0.00000027
WPRETH,0.0000402
QLCBTC,0.00000021
QLCETH,0.00000603
SYSBTC,0.00000307
SYSETH,0.00011047
SYSBNB,0.001635
QLCBNB,0.000922
GRSBTC,0.00001649
GRSETH,0.00076455
ADAUSDT,0.2584
ADABNB,0.001212
CLOAKBTC,0.0001555
CLOAKETH,0.004142
GNTBTC,0.00000678
GNTETH,0.00022071
GNTBNB,0.002439
LOOMBTC,0.00000466
LOOMETH,0.00003231
LOOMBNB,0.000885
XRPUSDT,0.5277
BCNBTC,0.00000022
BCNETH,0.00000707
BCNBNB,0.00002
REPBTC,0.0003413
REPBNB,0.4467
BTCTUSD,27728.34
TUSDBTC,0.00025971
ETHTUSD,1647.33
TUSDETH,0.00762097
TUSDBNB,0.06777
ZENBTC,0.0002906
ZENETH,0.004889
ZENBNB,0.0329
SKYBTC,0.00000829
SKYETH,0.00222
SKYBNB,0.03022
EOSUSDT,0.575
EOSBNB,0.002681
CVCBTC,0.00000566
CVCETH,0.0000993
CVCBNB,0.002112
THETABTC,0.00002227
THETAETH,0.0003768
THETABNB,0.002906
XRPBNB,0.002478
TUSDUSDT,0.9989
IOTAUSDT,0.1525
XLMUSDT,0.1116
IOTXBTC,0.00000062
IOTXETH,0.00001053
QKCBTC,0.00000028
QKCETH,0.00000481
AGIBTC,0.00000668
AGIETH,0.00007363
AGIBNB,0.000772
NXSBTC,0.00000284
NXSETH,0.000773
NXSBNB,0.01087
ENJBNB,0.001368
DATABTC,0.00000086
DATAETH,0.00002034
ONTUSDT,0.1666
TRXBNB,0.0004194
TRXUSDT,0.08935
ETCUSDT,15.68
ETCBNB,0.0736
ICXUSDT,0.1701
SCBTC,0.00000017
SCETH,0.00000181
NPXSBTC,0.00000003
NPXSETH,0.00000345
VENUSDT,0.0001
KEYBTC,0.00000013
KEYETH,0.00000227
NASBTC,0.00000228
NASETH,0.00004047
NASBNB,0.02337
MFTBTC,0.00000008
MFTETH,0.00000433
MFTBNB,0.00001485
DENTBTC,0.00000004
DENTETH,0.00000038
ARDRBTC,0.0000024
ARDRETH,0.0001887
ARDRBNB,0.003168
NULSUSDT,0.1765
HOTBTC,0.00000002
HOTETH,0.00000062
VETBTC,0.0000006
VETETH,0.00001014
VETUSDT,0.0167
VETBNB,0.000078
DOCKBTC,0.00000056
DOCKETH,0.00003283
POLYBTC,0.00001384
POLYBNB,0.001459
PHXBTC,0.0000018
PHXETH,0.00005617
PHXBNB,0.000456
HCBTC,0.00002
HCETH,0.005134
GOBTC,0.00000043
GOBNB,0.0006923
PAXBTC,0.00025175
PAXBNB,0.20121
PAXUSDT,0.9996
PAXETH,0.00888047
RVNBTC,0.00000053
DCRBTC,0.000471
DCRBNB,0.781
USDCBNB,0.21755
MITHBTC,0.0000008
